1685931473.942792 client started (14277): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1685931473.942848 on Darwin 22.4.0 Darwin Kernel Version 22.4.0: Mon Mar  6 20:59:28 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T6000
1685931473.942863 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1685931473.942897 flags are 0x18010000
1685931473.942905 socket is /private/tmp/tmux-501/default
1685931473.942918 trying connect
1685931473.942938 connect failed: Connection refused
1685931473.942956 lock file is /private/tmp/tmux-501/default.lock
1685931473.943065 flock succeeded
1685931473.943074 got lock (6)
1685931473.943082 trying connect
1685931473.943091 connect failed: Connection refused
1685931473.943695 add peer 0x148008000: 7 (0x0)
1685931473.949091 sending message 100 to peer 0x148008000 (4 bytes)
1685931473.949118 sending message 111 to peer 0x148008000 (8 bytes)
1685931473.949131 sending message 101 to peer 0x148008000 (10 bytes)
1685931473.949145 sending message 109 to peer 0x148008000 (4 bytes)
1685931473.949157 sending message 102 to peer 0x148008000 (13 bytes)
1685931473.949169 sending message 108 to peer 0x148008000 (28 bytes)
1685931473.949180 sending message 112 to peer 0x148008000 (58 bytes)
1685931473.949191 sending message 112 to peer 0x148008000 (5 bytes)
1685931473.949201 sending message 112 to peer 0x148008000 (5 bytes)
1685931473.949212 sending message 112 to peer 0x148008000 (6 bytes)
1685931473.949225 sending message 112 to peer 0x148008000 (6 bytes)
1685931473.949238 sending message 112 to peer 0x148008000 (10 bytes)
1685931473.949249 sending message 112 to peer 0x148008000 (13 bytes)
1685931473.949259 sending message 112 to peer 0x148008000 (14 bytes)
1685931473.949270 sending message 112 to peer 0x148008000 (19 bytes)
1685931473.949281 sending message 112 to peer 0x148008000 (11 bytes)
1685931473.949295 sending message 112 to peer 0x148008000 (10 bytes)
1685931473.949305 sending message 112 to peer 0x148008000 (15 bytes)
1685931473.949316 sending message 112 to peer 0x148008000 (21 bytes)
1685931473.949326 sending message 112 to peer 0x148008000 (13 bytes)
1685931473.949336 sending message 112 to peer 0x148008000 (7 bytes)
1685931473.949347 sending message 112 to peer 0x148008000 (13 bytes)
1685931473.949357 sending message 112 to peer 0x148008000 (7 bytes)
1685931473.949369 sending message 112 to peer 0x148008000 (13 bytes)
1685931473.949381 sending message 112 to peer 0x148008000 (9 bytes)
1685931473.949391 sending message 112 to peer 0x148008000 (21 bytes)
1685931473.949403 sending message 112 to peer 0x148008000 (13 bytes)
1685931473.949415 sending message 112 to peer 0x148008000 (9 bytes)
1685931473.949425 sending message 112 to peer 0x148008000 (16 bytes)
1685931473.949435 sending message 112 to peer 0x148008000 (13 bytes)
1685931473.949447 sending message 112 to peer 0x148008000 (9 bytes)
1685931473.949460 sending message 112 to peer 0x148008000 (9 bytes)
1685931473.949474 sending message 112 to peer 0x148008000 (12 bytes)
1685931473.949485 sending message 112 to peer 0x148008000 (8 bytes)
